1;L'+D;1280x720_YUYV;1280x720;null;null;11,14;30,60;30,60;3;1;null
2;L'+D;640x480_YUYV;640x480;null;null;11,14;30,60,90;30,60,90;3;1;null
3;L'+R'+D;2560x720_YUYV;1280x720;null;null;11,14;30;30;3;1;null
5;L+D;1280x720_YUYV;1280x720;null;null;11,14;30,60;30,60;3;0;null
6;L+R+D;2560x720_YUYV;1280x720;null;null;11,14;30;30;3;0;null
7;L+R+D;1280x480_YUYV;640x480;null;null;11,14;30,60,90;30,60,90;3;0;null
8;L+R;2560x960_YUYV;null;null;null;null;30;null;3;0;null
10;L'+R';2560x720_YUYV;null;null;null;null;30,60;null;3;1;null
11;L(R);1280x720_YUYV;null;null;null;null;30,60;null;3;0;null
12;D;null;1280x720;null;null;11,14;null;30,60;3;0;null
13;D;null;640x480;null;null;11,14;null;30,60,90;3;0;null
14;L+R;2560x960_MJPEG;null;null;null;null;54;null;3;0;null
16;L'+R';2560x720_MJPEG;null;null;null;null;30,60;null;3;1;null
17;L(R);1280x720_MJPEG;null;null;null;null;30,60;null;3;0;null
18;L'+D;1280x720_YUYV;640x720;null;null;8;5;5;2;1;null
19;L'+D;640x480_YUYV;320x480;null;null;8;15;15;2;1;null
20;L'+R'+D;2560x720_YUYV;640x720;null;null;8;5;5;2;1;null
21;L'+R'+D;1280x480_YUYV;320x480;null;null;8;15;15;2;1;null
22;L+D;1280x720_YUYV;640x720;null;null;8;5;5;2;0;null
23;L+R+D;2560x720_YUYV;640x720;null;null;8;5;5;2;0;null
24;L+R+D;1280x480_YUYV;320x480;null;null;8;15;15;2;0;null
25;L+R;2560x960_YUYV;null;null;null;null;4;null;2;0;null
26;L+R;2560x720_YUYV;null;null;null;null;5;null;2;0;null
27;L'+R';2560x720_YUYV;null;null;null;null;5;null;2;1;null
28;L(R);1280x720_YUYV;null;null;null;null;10;null;2;0;null
29;D;null;640x720;null;null;8;null;5;2;0;null
30;D;null;320x480;null;null;8;null;30;2;0;null
31;L'+D;1280x720_MJPEG;640x720;null;null;8;10;10;2;1;null
32;L'+D;640x480_MJPEG;320x480;null;null;8;30;30;2;1;null
33;L'+R'+D;2560x720_MJPEG;640x720;null;null;8;10;10;2;1;null
34;L+D;1280x720_MJPEG;320x480;null;null;8;30;30;2;0;null
35;L+R+D;2560x720_MJPEG;320x480;null;null;8;30;30;2;0;null
36;L+R;2560x960_MJPEG;null;null;null;null;24;null;2;0;null
37;L+R;2560x720_MJPEG;null;null;null;null;30;null;2;0;null
38;L'+R';1280x480_MJPEG;null;null;null;null;30;null;2;1;null
39;L(R);1280x720_MJPEG;null;null;null;null;30;null;2;0;null
