5;L'+D;1280x720_YUYV;1280x720;null;null;11;60,30;60,30;3;1;30
6;L'+D;640x400_YUYV;640x400;null;null;11;90,60,44;90,60,44;3;1;44
7;D;null;1280x720;null;null;11;null;60,30;3;0;null
8;D;null;640x400;null;null;11;null;90,60,30;3;0;null
9;L'+D;1280x720_MJPEG;640x360;null;null;11;24;24;2;1;24
