1;L'+D;1280x720_YUYV;1280x720;null;null;11,14;60;60;3;1;null
2;L'+D;1280x720_YUYV;1280x720;null;null;11,14;30;30;3;1;null
3;L'+D interleave mode;1280x720_YUYV;1280x720;null;null;11,14;60;60;3;1;60
4;L'+D;640x480_YUYV;640x480;null;null;11,14;90;90;3;1;null
5;L'+D;640x480_YUYV;640x480;null;null;11,14;60;60;3;1;null
6;L'+D;640x480_YUYV;640x480;null;null;11,14;30;30;3;1;null
7;L'+D interleave mode;640x480_YUYV;640x480;null;null;11,14;90;90;3;1;90
8;L'+R'+D;2560x720_YUYV;1280x720;null;null;11,14;30;30;3;1;null
12;L+D;1280x720_YUYV;1280x720;null;null;11,14;60;60;3;0;null
13;L+D;1280x720_YUYV;1280x720;null;null;11,14;30;30;3;0;null
14;L+R+D;2560x720_YUYV;1280x720;null;null;11,14;30;30;3;0;null
15;L+R+D;1280x480_YUYV;640x480;null;null;11,14;90;90;3;0;null
16;L+R+D;1280x480_YUYV;640x480;null;null;11,14;60;60;3;0;null
17;L+R+D;1280x480_YUYV;640x480;null;null;11,14;30;30;3;0;null
18;L+R;2560x960_YUYV;null;null;null;null;30;null;3;0;null
19;L'+R';2560x720_YUYV;null;null;null;null;60;null;3;1;null
20;L'+R';2560x720_YUYV;null;null;null;null;30;null;3;1;null
21;L(R);1280x720_YUYV;null;null;null;null;60;null;3;0;null
22;L(R);1280x720_YUYV;null;null;null;null;30;null;3;0;null
23;D;null;1280x720;null;null;11,14;null;60;3;0;null
24;D;null;1280x720;null;null;11,14;null;30;3;0;null
25;D;null;640x480;null;null;11,14;null;90;3;0;null
26;D;null;640x480;null;null;11,14;null;60;3;0;null
27;D;null;640x480;null;null;11,14;null;30;3;0;null
28;L+R;2560x960_MJPEG;null;null;null;null;54;null;3;0;null
31;L'+R';2560x720_MJPEG;null;null;null;null;60;null;3;1;null
32;L'+R';2560x720_MJPEG;null;null;null;null;30;null;3;1;null
33;L(R);1280x720_MJPEG;null;null;null;null;60;null;3;0;null
34;L(R);1280x720_MJPEG;null;null;null;null;30;null;3;0;null
35;L'+D;1280x720_YUYV;640x720;null;null;8;5;5;2;1;null
36;L'+D;640x480_YUYV;320x480;null;null;8;15;15;2;1;null
37;L'+R'+D;2560x720_YUYV;640x720;null;null;8;5;5;2;1;null
38;L'+R'+D;1280x480_YUYV;320x480;null;null;8;15;15;2;1;null
39;L+D;1280x720_YUYV;640x720;null;null;8;5;5;2;0;null
40;L+R+D;2560x720_YUYV;640x720;null;null;8;5;5;2;0;null
41;L+R+D;1280x480_YUYV;320x480;null;null;8;15;15;2;0;null
42;L+R;2560x960_YUYV;null;null;null;null;4;null;2;0;null
43;L+R;2560x720_YUYV;null;null;null;null;5;null;2;0;null
44;L'+R';2560x720_YUYV;null;null;null;null;5;null;2;1;null
45;L(R);1280x720_YUYV;null;null;null;null;10;null;2;0;null
46;D;null;640x720;null;null;8;null;5;2;0;null
47;D;null;320x480;null;null;8;null;30;2;0;null
48;L'+D;1280x720_MJPEG;640x720;null;null;8;10;10;2;1;null
49;L'+D;640x480_MJPEG;320x480;null;null;8;30;30;2;1;null
50;L'+R'+D;2560x720_MJPEG;640x720;null;null;8;10;10;2;1;null
51;L+D;1280x720_MJPEG;320x480;null;null;8;30;30;2;0;null
52;L+R+D;2560x720_MJPEG;320x480;null;null;8;30;30;2;0;null
53;L+R;2560x960_MJPEG;null;null;null;null;24;null;2;0;null
54;L+R;2560x720_MJPEG;null;null;null;null;30;null;2;0;null
55;L'+R';1280x480_MJPEG;null;null;null;null;30;null;2;1;null
56;L(R);1280x720_MJPEG;null;null;null;null;30;null;2;0;null
