31;L'+D;1280x720_MJPEG;640x720;null;null;8;10;10;2;1;null
32;L'+D;640x480_MJPEG;320x480;null;null;8;30;30;2;1;null
33;L'+R'+D;2560x720_MJPEG;640x720;null;null;8;10;10;2;1;null
36;L+R;1280x480_MJPEG;null;null;null;null;30;null;2;0;null
37;L+R;2560x720_MJPEG;null;null;null;null;30;null;2;0;null
38;L'+R'+D;1280x480_MJPEG;320x480;null;null;8;30;30;2;1;null
39;L'+R';2560x720_MJPEG;null;null;null;null;30;null;2;1;null
40;L (R);1280x720_MJPEG;null;null;null;null;30;null;2;0;null
41;L;800x600_MJPEG;null;null;null;null;30;null;2;0;null
42;L+R;1600x600_MJPEG;null;null;null;null;30;null;2;0;null
